item_id,definition,language,form,type,category,lexical_category,lexical_class,uni_lemma,complexity_category,num_item_id
item_1,baa baa,English (American),WS,word,sounds,other,other,baa baa,,1
item_2,choo choo,English (American),WS,word,sounds,other,other,choo choo,,2
item_3,cockadoodledoo,English (American),WS,word,sounds,other,other,cockadoodledoo,,3
item_4,grrr,English (American),WS,word,sounds,other,other,grrr,,4
item_5,meow,English (American),WS,word,sounds,other,other,meow,,5
item_6,moo,English (American),WS,word,sounds,other,other,moo,,6
item_7,ouch,English (American),WS,word,sounds,other,other,ouch,,7
item_8,quack quack,English (American),WS,word,sounds,other,other,quack quack,,8
item_9,uh oh,English (American),WS,word,sounds,other,other,uh oh,,9
item_10,vroom,English (American),WS,word,sounds,other,other,vroom,,10
item_11,woof woof,English (American),WS,word,sounds,other,other,woof woof,,11
item_12,yum yum,English (American),WS,word,sounds,other,other,yum yum,,12
item_13,alligator,English (American),WS,word,animals,nouns,nouns,alligator,,13
item_14,animal,English (American),WS,word,animals,nouns,nouns,animal,,14
item_15,ant,English (American),WS,word,animals,nouns,nouns,ant,,15
item_16,bear,English (American),WS,word,animals,nouns,nouns,bear,,16
item_17,bee,English (American),WS,word,animals,nouns,nouns,bee,,17
item_18,bird,English (American),WS,word,animals,nouns,nouns,bird,,18
item_19,bug,English (American),WS,word,animals,nouns,nouns,bug,,19
item_20,bunny,English (American),WS,word,animals,nouns,nouns,bunny,,20
item_21,butterfly,English (American),WS,word,animals,nouns,nouns,butterfly,,21
item_22,cat,English (American),WS,word,animals,nouns,nouns,cat,,22
item_23,chicken (animal),English (American),WS,word,animals,nouns,nouns,chicken (animal),,23
item_24,cow,English (American),WS,word,animals,nouns,nouns,cow,,24
item_25,deer,English (American),WS,word,animals,nouns,nouns,deer,,25
item_26,dog,English (American),WS,word,animals,nouns,nouns,dog,,26
item_27,donkey,English (American),WS,word,animals,nouns,nouns,donkey,,27
item_28,duck,English (American),WS,word,animals,nouns,nouns,duck,,28
item_29,elephant,English (American),WS,word,animals,nouns,nouns,elephant,,29
item_30,fish (animal),English (American),WS,word,animals,nouns,nouns,fish (animal),,30
item_31,frog,English (American),WS,word,animals,nouns,nouns,frog,,31
item_32,giraffe,English (American),WS,word,animals,nouns,nouns,giraffe,,32
item_33,goose,English (American),WS,word,animals,nouns,nouns,goose,,33
item_34,hen,English (American),WS,word,animals,nouns,nouns,hen,,34
item_35,horse,English (American),WS,word,animals,nouns,nouns,horse,,35
item_36,kitty,English (American),WS,word,animals,nouns,nouns,kitty,,36
item_37,lamb,English (American),WS,word,animals,nouns,nouns,lamb,,37
item_38,lion,English (American),WS,word,animals,nouns,nouns,lion,,38
item_39,monkey,English (American),WS,word,animals,nouns,nouns,monkey,,39
item_40,moose,English (American),WS,word,animals,nouns,nouns,moose,,40
item_41,mouse,English (American),WS,word,animals,nouns,nouns,mouse,,41
item_42,owl,English (American),WS,word,animals,nouns,nouns,owl,,42
item_43,penguin,English (American),WS,word,animals,nouns,nouns,penguin,,43
item_44,pig,English (American),WS,word,animals,nouns,nouns,pig,,44
item_45,pony,English (American),WS,word,animals,nouns,nouns,pony,,45
item_46,puppy,English (American),WS,word,animals,nouns,nouns,puppy,,46
item_47,rooster,English (American),WS,word,animals,nouns,nouns,rooster,,47
item_48,sheep,English (American),WS,word,animals,nouns,nouns,sheep,,48
item_49,squirrel,English (American),WS,word,animals,nouns,nouns,squirrel,,49
item_50,teddybear,English (American),WS,word,animals,nouns,nouns,teddybear,,50
item_51,tiger,English (American),WS,word,animals,nouns,nouns,tiger,,51
item_52,turkey,English (American),WS,word,animals,nouns,nouns,turkey,,52
item_53,turtle,English (American),WS,word,animals,nouns,nouns,turtle,,53
item_54,wolf,English (American),WS,word,animals,nouns,nouns,wolf,,54
item_55,zebra,English (American),WS,word,animals,nouns,nouns,zebra,,55
item_56,airplane,English (American),WS,word,vehicles,nouns,nouns,airplane,,56
item_57,bicycle,English (American),WS,word,vehicles,nouns,nouns,bicycle,,57
item_58,boat,English (American),WS,word,vehicles,nouns,nouns,boat,,58
item_59,bus,English (American),WS,word,vehicles,nouns,nouns,bus,,59
item_60,car,English (American),WS,word,vehicles,nouns,nouns,car,,60
item_61,firetruck,English (American),WS,word,vehicles,nouns,nouns,firetruck,,61
item_62,helicopter,English (American),WS,word,vehicles,nouns,nouns,helicopter,,62
item_63,motorcycle,English (American),WS,word,vehicles,nouns,nouns,motorcycle,,63
item_64,sled,English (American),WS,word,vehicles,nouns,nouns,sled,,64
item_65,stroller,English (American),WS,word,vehicles,nouns,nouns,stroller,,65
