"","data_id","age","ethnicity","mom_ed","sex","age_y","college_grad","total","M1_F","M1_SE","M2_F","M2_SE","M3_F","M3_SE"
"1",129242,27,"Hispanic","Some Secondary","Female",0,0,14,0.433111859515709,0.100854362170925,0.718652190350154,0.196375973018345,0.450688082011682,0.0653241525022911
"2",129243,21,"White","Secondary","Female",1,0,15,0.503505627865099,0.106539701773641,0.885800650005768,0.236085366202746,0.503301807242584,0.0751292169589249
"3",129244,26,"White","College","Female",0,1,1,-0.730328077885684,0.318817414346896,-1.3733490722279,0.684545921122731,-0.222703930844083,0.150005107752029
"4",129246,19,"Other","Secondary","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"5",129247,30,"Other","Secondary","Female",0,0,24,0.825333521404638,0.0902945582255047,1.52639079000619,0.162825400862228,0.712031338845861,0.0566429502313506
"6",129248,25,"Other","Some College","Male",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"7",129249,24,"White","Some College","Male",1,0,4,-0.14046685589981,0.171442271341259,-0.252845551455331,0.263631515463449,0.126822607292514,0.08627933314878
"8",129250,28,"Black","Some Secondary","Female",0,0,31,1.15484270691525,0.122471214788916,2.11791969239066,0.212886945220146,0.911587547133578,0.0724297013157389
"9",129252,29,"Other","Some College","Female",0,0,30,1.09202198606643,0.116266776352694,2.01698611195718,0.20318887091455,0.876048638057452,0.0689853233751046
"10",129253,26,"Other","Some Secondary","Female",0,0,9,0.190646836734164,0.122375133156383,0.365653799721408,0.288249078617969,0.330764542689369,0.095473128433202
"11",129255,24,"Hispanic","Secondary","Male",1,0,1,-0.835088420851448,0.355045754508616,-1.83716982837034,1.06032599386943,-0.292859776922463,0.256244130030179
"12",129256,28,"Other","Some Secondary","Male",0,0,2,-0.531842049188145,0.258170870743735,-1.09786570381814,0.442651895339775,-0.165033490749711,0.142978716313695
"13",129257,24,"Other","Some Secondary","Male",1,0,6,-0.0160304274089029,0.151410869320726,-0.136249125417454,0.231469110949212,0.167191399676129,0.0795559893740533
"14",129258,26,"Other","Secondary","Male",0,0,1,-0.586143447768059,0.273615464651897,-1.11601331036761,0.447768672638018,-0.170453266168265,0.141199421016991
"15",129260,17,"White","Some College","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"16",129261,30,"Other","Some Secondary","Male",0,0,32,1.26553599089051,0.135633474723355,2.30510527537797,0.243782497643876,0.97429632212444,0.0796923089890857
"17",129262,19,"Black","Secondary","Female",1,0,1,-0.796030432537826,0.341248111513252,-1.69163513172636,0.968958625867251,-0.267658357766512,0.215832831912623
"18",129263,28,"White","Secondary","Male",0,0,23,0.811582643741772,0.087066652814962,1.5014521474139,0.166748651396108,0.703245278176197,0.0558643014050649
"19",129264,26,"Other","Some College","Male",0,0,13,0.424910484763149,0.0997299774248522,0.715687135295357,0.194955191973574,0.449658593334706,0.0649329788291548
"20",129265,29,"Other","Some Secondary","Male",0,0,6,0.0489434731679323,0.142313415275703,-0.0107472837630607,0.287861349168799,0.209894547897024,0.094715625519178
"21",129266,22,"Black","Some College","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"22",129267,23,"Hispanic","Secondary","Female",1,0,17,0.568018219013903,0.0916081885800374,1.06310320131469,0.193001549042265,0.560706996814892,0.0659162928461036
"23",129268,29,"White","Secondary","Female",0,0,29,1.03485032102022,0.104979442658075,1.91145124876521,0.211986110259795,0.841496282659471,0.0676210962041655
"24",129269,24,"Other","Some College","Male",1,0,6,-0.0165867424211712,0.151491366752252,-0.131173531014007,0.233169532835536,0.168765184622953,0.0799867773787719
"25",129270,25,"Other","Secondary","Female",0,0,35,1.49573256423697,0.1861050364732,2.66274780543658,0.371939455591091,1.09144019871797,0.125995905080552
"26",129272,24,"Other","Secondary","Female",1,0,6,0.0349409783464765,0.144258898299453,-0.0403090708306865,0.274987955272579,0.200388326363475,0.0913629820032919
"27",129273,25,"White","Secondary","Female",0,0,10,0.22666771570596,0.120038127891459,0.46594592020271,0.230123035299544,0.364528594468911,0.0772437779279763
"28",129274,24,"Other","Some College","Male",1,0,5,-0.103499354045099,0.165093615075136,-0.225217241880939,0.24422871291445,0.135751480068661,0.0813696441925675
"29",129275,25,"Other","Some Secondary","Male",0,0,1,-0.796030432537826,0.341248111513252,-1.69163513172636,0.968958625867251,-0.267658357766512,0.215832831912623
"30",129282,23,"Other","Secondary","Female",1,0,11,0.368442837377076,0.102285271697989,0.632018322498706,0.152243713936542,0.420811860829227,0.0517877256734245
"31",129284,23,"Hispanic","Some College","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"32",129285,20,"Other","Secondary","Female",1,0,2,-0.525600515277353,0.256452865794876,-1.08438581704032,0.440204560596106,-0.160262552298944,0.14461048801384
"33",129286,28,"Hispanic","Secondary","Male",0,0,9,0.202836815636818,0.121375701006958,0.409312127780082,0.266478337403084,0.345018765531064,0.0890399103245008
"34",129287,22,"Black","Some Secondary","Male",1,0,2,-0.557565621336892,0.265376075393672,-1.12409506877919,0.450764743424306,-0.173700209276001,0.14019806576428
"35",129288,30,"Other","Some Secondary","Male",0,0,2,-0.547295036560757,0.262475212842145,-1.1006963952213,0.443307990369226,-0.16613698262639,0.142608243085968
"36",129289,25,"Hispanic","Secondary","Female",0,0,3,-0.330630361885291,0.208596937674324,-0.676978860112728,0.471090885251618,-0.0126076043642109,0.161352866379956
"37",129290,23,"Other","College","Male",1,1,4,-0.169222225167463,0.176570137847886,-0.288274106570611,0.29191740046528,0.115545411673706,0.0942076207264598
"38",129291,21,"Black","Secondary","Male",1,0,1,-0.835088420851448,0.355045754508616,-1.83716982837034,1.06032599386943,-0.292859776922463,0.256244130030179
"39",129292,23,"Other","Secondary","Female",1,0,3,-0.285864518256636,0.199104076326337,-0.527855291205635,0.43623559764563,0.0398621959439283,0.144141594586746
"40",129294,23,"Hispanic","Some Secondary","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"41",129295,19,"Hispanic","Some Secondary","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
